ip	input	celltype	antibody
el39_bg3_rump-5g4	el37_bg3_input	bg3	rump-5g4
el40_kc_rump-5g4	el38_kc_input	kc	rump-5g4
el41_bg3_rump-10c3	el37_bg3_input	bg3	rump-10c3
el42_kc_rump-10c3	el38_kc_input	kc	rump-10c3
lm06_kc_shep-gp	lm09_kc_input	kc	shep-gp
lm07_kc_shep-r5	lm09_kc_input	kc	shep-r5
lm08_kc_shep-r6	lm09_kc_input	kc	shep-r6
lm10_kc_shep-gp	lm09_kc_input	kc	shep-gp
lm32_kc_suhw	lm09_kc_input	kc	suhw
lm33_bg3_suhw	lm31_bg3_input	bg3	suhw
lm34_bg3_shep-gp	lm31_bg3_input	bg3	shep-gp
lm36_bg3_shep-r6	lm31_bg3_input	bg3	shep-r6
lm37_kc_mod-gp	lm09_kc_input	kc	mod-gp
lm38_kc_mod-rb	lm09_kc_input	kc	mod-rb
lm39_kc_rm62-rat	lm09_kc_input	kc	rm62-rat
lm40_kc_rm62-rb	lm09_kc_input	kc	rm62-rb
lm41_kc_rump-5g4	lm09_kc_input	kc	rump-5g4
lm42_kc_rump-10c3	lm09_kc_input	kc	rump-10c3
lm43_bg3_mod-gp	lm31_bg3_input	bg3	mod-gp
lm44_bg3_mod-rb	lm31_bg3_input	bg3	mod-rb
lm47_bg3_rump5g4	lm31_bg3_input	bg3	rump5g4
lm48_bg3_rump-10c3	lm31_bg3_input	bg3	rump-10c3
sjl_cl8_cp190	sjl_cl8_input	cl8	cp190
sjl_cl8_mod	sjl_cl8_input	cl8	mod
sjl_cl8_suhw	sjl_cl8_input	cl8	suhw
sjl_kc_cp190	sjl_kc_input	kc	cp190
sjl_mbn2_cp190	sjl_mbn2_input	mbn2	cp190
sjl_mbn2_mod	sjl_mbn2_input	mbn2	mod
sjl_mbn2_shep	sjl_mbn2_input	mbn2	shep
sjl_mbn2_suhw	sjl_mbn2_input	mbn2	suhw
sjl_s2_cp190	sjl_s2_input	s2	cp190
sjl_s2_mod	sjl_s2_input	s2	mod
sjl_s2_shep	sjl_s2_input	s2	shep
sjl_s3_cp190	sjl_s3_input	s3	cp190
sjl_s3_suhw	sjl_s3_input	s3	suhw
